Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,066062,1921,25.0,26.0,25.0,23.1,20.1,19.0,18.5,18.2,22.0,21.1,24.9,24.1,22.2
IDCJAC0002,066062,1922,26.0,25.7,26.2,25.6,19.5,17.7,16.6,17.7,19.5,23.5,25.4,27.0,22.5
IDCJAC0002,066062,1923,26.6,26.6,26.6,21.7,21.7,18.3,16.3,17.4,21.3,22.0,23.6,26.6,22.4
IDCJAC0002,066062,1924,26.8,27.2,24.6,21.8,19.8,16.8,17.6,18.2,20.8,23.2,22.7,22.5,21.8
IDCJAC0002,066062,1925,24.1,26.6,23.8,23.4,19.4,17.7,16.7,16.3,19.5,21.8,22.5,25.3,21.4
IDCJAC0002,066062,1926,26.2,28.7,24.4,23.5,18.6,18.0,17.8,18.8,20.4,24.7,25.3,23.7,22.5
IDCJAC0002,066062,1927,25.0,25.3,24.6,21.1,19.3,16.0,17.5,18.5,18.2,22.3,22.2,23.9,21.2
IDCJAC0002,066062,1928,25.8,25.8,25.9,23.7,18.9,16.8,17.3,19.8,23.1,23.7,24.0,23.8,22.4
IDCJAC0002,066062,1929,27.1,25.3,24.1,22.8,19.1,17.2,16.3,18.0,18.7,20.1,21.9,26.4,21.4
IDCJAC0002,066062,1930,24.3,25.9,23.2,20.9,18.8,16.5,17.6,18.3,20.6,21.9,24.3,24.5,21.4
IDCJAC0002,066062,1931,26.3,25.0,24.8,21.3,20.2,17.9,17.5,18.9,20.5,21.2,22.6,22.8,21.6
IDCJAC0002,066062,1932,26.4,25.5,24.6,22.6,19.0,17.2,16.4,18.5,18.3,20.9,24.2,24.6,21.5
IDCJAC0002,066062,1933,24.6,25.5,23.6,21.7,19.7,17.5,16.2,16.8,18.8,22.0,20.7,24.1,20.9
IDCJAC0002,066062,1934,26.0,24.7,25.4,21.7,19.9,16.4,17.0,17.5,20.8,20.7,22.4,22.6,21.3
IDCJAC0002,066062,1935,25.6,26.2,25.0,22.8,19.3,17.0,16.9,19.3,18.9,22.7,22.9,23.7,21.7
IDCJAC0002,066062,1936,24.6,24.0,24.3,21.5,20.2,17.1,17.0,19.7,19.5,23.4,24.3,25.3,21.7
IDCJAC0002,066062,1937,26.6,25.0,25.0,20.9,20.0,15.4,16.9,18.2,21.4,20.8,23.0,25.6,21.6
IDCJAC0002,066062,1938,25.9,26.1,25.5,23.5,20.2,18.0,16.2,17.0,19.6,22.2,24.4,26.5,22.1
IDCJAC0002,066062,1939,26.1,27.1,23.6,22.4,20.8,18.0,15.6,18.9,19.8,20.4,23.6,26.2,21.9
IDCJAC0002,066062,1940,27.0,26.3,26.9,21.9,18.8,18.1,17.4,18.3,20.8,22.8,23.1,25.6,22.2
IDCJAC0002,066062,1941,24.1,24.8,24.1,22.4,19.8,17.0,17.5,17.5,21.1,21.3,24.4,24.6,21.6
IDCJAC0002,066062,1942,26.9,24.7,24.3,22.5,20.9,17.2,15.8,19.2,20.9,20.6,23.1,24.8,21.7
IDCJAC0002,066062,1943,25.4,26.6,25.2,22.4,18.9,15.4,15.8,14.9,18.3,20.4,20.6,23.0,20.6
IDCJAC0002,066062,1944,26.6,26.2,24.0,21.9,18.4,15.6,15.9,16.4,19.8,23.1,25.6,26.1,21.6
IDCJAC0002,066062,1945,24.6,24.9,24.7,22.2,18.9,16.9,15.4,18.5,19.8,21.6,24.7,24.7,21.4
IDCJAC0002,066062,1946,27.5,26.1,24.1,20.4,19.7,16.3,18.3,19.4,19.8,20.5,23.6,25.4,21.8
IDCJAC0002,066062,1947,25.1,25.2,24.6,21.6,20.8,18.2,17.1,17.7,20.2,22.1,21.4,24.6,21.6
IDCJAC0002,066062,1948,23.1,26.3,23.7,21.0,19.7,16.6,16.2,19.2,20.0,23.6,21.5,24.4,21.3
IDCJAC0002,066062,1949,23.9,26.0,23.2,21.0,19.3,15.5,17.4,18.0,19.1,24.4,23.3,24.9,21.3
IDCJAC0002,066062,1950,25.8,24.4,24.6,22.2,19.1,16.8,16.6,17.6,21.7,21.3,22.0,24.8,21.4
IDCJAC0002,066062,1951,23.9,25.4,25.8,21.9,20.0,17.3,17.1,17.4,21.0,22.4,24.1,24.8,21.8
IDCJAC0002,066062,1952,26.7,24.7,25.2,22.3,18.8,18.0,16.4,17.5,20.7,21.5,22.7,23.6,21.5
IDCJAC0002,066062,1953,24.1,24.2,24.4,24.2,20.0,17.2,17.2,17.8,20.2,20.6,24.3,26.4,21.7
IDCJAC0002,066062,1954,24.3,26.0,25.3,23.8,19.2,17.4,17.1,18.6,18.0,21.6,24.4,24.2,21.7
IDCJAC0002,066062,1955,25.8,25.5,25.3,22.7,19.2,16.6,16.4,18.9,20.1,22.9,24.3,23.6,21.8
IDCJAC0002,066062,1956,25.1,25.3,24.9,23.9,19.4,17.1,16.6,17.5,18.1,21.4,23.8,26.0,21.6
IDCJAC0002,066062,1957,24.1,24.0,24.1,23.5,21.1,20.3,15.7,17.3,19.6,22.4,26.0,27.4,22.1
IDCJAC0002,066062,1958,24.6,26.3,26.3,23.1,22.7,17.8,16.9,18.5,18.5,22.7,25.2,24.0,22.2
IDCJAC0002,066062,1959,25.5,26.2,25.3,23.0,19.4,17.8,17.3,18.5,19.9,20.0,23.9,25.2,21.8
IDCJAC0002,066062,1960,28.3,25.5,24.5,23.7,19.1,16.2,17.5,17.5,19.5,22.2,22.7,22.8,21.6
IDCJAC0002,066062,1961,25.5,25.7,25.6,22.7,19.4,17.6,16.7,17.1,19.7,23.3,23.1,24.7,21.8
IDCJAC0002,066062,1962,25.1,26.4,25.3,22.5,19.2,19.1,17.7,17.7,20.5,21.9,24.1,23.6,21.9
IDCJAC0002,066062,1963,25.9,26.7,24.6,23.0,20.0,17.0,16.5,17.1,20.3,21.3,22.2,25.5,21.7
IDCJAC0002,066062,1964,27.6,25.7,25.1,22.5,20.1,18.1,17.7,18.9,21.2,21.4,24.2,25.4,22.3
IDCJAC0002,066062,1965,23.2,25.6,26.2,22.1,21.3,18.5,16.8,18.6,21.8,22.7,23.8,24.3,22.1
IDCJAC0002,066062,1966,25.4,25.3,24.6,23.3,20.1,17.9,16.6,17.3,19.3,20.7,24.6,24.5,21.6
IDCJAC0002,066062,1967,26.7,24.9,24.0,23.1,20.1,17.8,17.2,17.4,19.6,21.5,24.2,24.2,21.7
IDCJAC0002,066062,1968,25.6,26.9,26.7,25.3,19.8,16.9,16.2,18.8,20.5,24.2,26.0,23.7,22.6
IDCJAC0002,066062,1969,27.4,25.5,25.3,24.4,19.7,17.4,18.0,19.1,18.3,20.8,22.9,26.3,22.1
IDCJAC0002,066062,1970,26.3,26.3,24.7,23.6,18.5,18.1,18.1,17.9,18.6,23.5,22.3,25.8,22.0
IDCJAC0002,066062,1971,25.2,26.4,25.2,23.4,20.1,17.1,15.9,18.3,20.5,24.2,22.2,24.4,21.9
IDCJAC0002,066062,1972,24.5,25.7,24.1,22.5,19.1,17.6,17.5,18.8,21.5,20.9,23.0,27.2,21.9
IDCJAC0002,066062,1973,26.7,26.3,25.3,24.3,21.6,17.3,18.0,18.1,21.6,22.5,24.5,25.9,22.7
IDCJAC0002,066062,1974,25.5,25.6,25.2,23.4,20.2,17.4,17.5,17.6,19.4,20.9,22.1,25.3,21.7
IDCJAC0002,066062,1975,26.2,25.9,25.5,22.1,21.0,17.7,19.0,18.2,20.7,22.0,25.0,26.2,22.5
IDCJAC0002,066062,1976,25.0,26.0,25.2,23.2,21.3,18.4,17.4,18.3,19.0,20.7,23.3,27.7,22.1
IDCJAC0002,066062,1977,27.2,26.2,26.2,24.2,20.2,17.1,16.9,19.6,18.8,24.2,24.4,27.1,22.7
IDCJAC0002,066062,1978,26.2,28.4,25.7,22.9,20.7,16.7,16.6,17.1,18.9,21.5,22.8,23.9,21.8
IDCJAC0002,066062,1979,26.9,27.2,24.9,22.9,18.9,18.4,17.5,18.0,19.9,22.0,24.1,27.9,22.4
IDCJAC0002,066062,1980,26.9,26.9,26.3,23.8,20.7,17.9,16.7,20.2,23.3,22.4,25.1,26.3,23.0
IDCJAC0002,066062,1981,26.3,26.0,25.3,24.0,20.1,17.2,17.0,17.6,22.1,22.6,22.1,25.4,22.1
IDCJAC0002,066062,1982,26.4,26.7,24.7,23.2,21.5,16.7,15.8,20.0,20.0,21.3,24.8,25.2,22.2
IDCJAC0002,066062,1983,26.6,27.7,26.6,21.1,20.5,16.9,16.7,18.1,21.8,21.3,23.7,25.0,22.2
IDCJAC0002,066062,1984,25.6,26.8,24.0,22.8,19.9,18.3,16.1,18.9,19.7,22.0,24.6,25.3,22.0
IDCJAC0002,066062,1985,26.8,24.4,25.6,22.5,19.9,17.7,17.0,17.7,19.7,21.6,23.5,27.4,22.0
IDCJAC0002,066062,1986,25.9,26.2,25.5,24.8,20.8,18.0,17.3,17.9,20.9,22.4,21.8,24.7,22.2
IDCJAC0002,066062,1987,27.0,26.9,24.2,22.9,20.5,18.2,16.9,18.7,21.4,21.4,24.6,24.3,22.2
IDCJAC0002,066062,1988,26.8,25.7,25.0,22.5,20.9,18.5,18.7,19.3,21.8,26.2,23.4,25.4,22.8
IDCJAC0002,066062,1989,25.4,26.3,25.2,23.1,20.5,16.7,16.3,17.3,20.9,24.2,23.6,25.3,22.1
IDCJAC0002,066062,1990,25.5,25.4,25.3,23.1,21.3,17.4,17.3,17.5,19.4,21.9,24.5,28.6,22.3
IDCJAC0002,066062,1991,29.1,28.2,25.6,23.1,20.0,19.5,17.0,18.8,21.5,23.7,23.4,24.2,22.8
IDCJAC0002,066062,1992,25.3,25.0,25.4,22.5,19.7,17.3,17.8,18.1,19.7,21.1,22.3,24.0,21.5
IDCJAC0002,066062,1993,26.5,27.3,24.7,23.6,20.3,17.3,17.6,18.9,19.8,22.3,23.2,25.7,22.3
IDCJAC0002,066062,1994,28.2,26.3,23.5,23.2,21.2,18.1,18.0,18.7,21.7,22.3,24.6,24.9,22.6
IDCJAC0002,066062,1995,24.8,25.1,25.1,22.0,20.2,17.5,16.8,21.3,19.3,21.9,24.2,23.7,21.8
IDCJAC0002,066062,1996,25.4,25.2,24.6,23.6,21.0,18.3,17.2,18.9,21.7,22.1,23.4,24.4,22.1
IDCJAC0002,066062,1997,24.1,26.3,25.7,24.4,20.1,18.0,16.7,18.7,19.4,22.9,25.5,26.8,22.4
IDCJAC0002,066062,1998,27.6,29.0,27.0,23.4,20.1,17.6,16.2,18.1,22.1,23.6,21.7,25.7,22.7
IDCJAC0002,066062,1999,26.6,26.1,25.7,21.7,20.9,17.8,17.7,18.8,21.2,22.8,22.3,23.6,22.1
IDCJAC0002,066062,2000,24.8,27.5,25.3,23.4,20.4,17.6,18.3,18.8,22.7,22.9,23.6,27.6,22.7
IDCJAC0002,066062,2001,27.3,27.3,25.8,24.0,19.9,19.9,17.5,19.5,22.3,24.0,23.5,26.2,23.1
IDCJAC0002,066062,2002,27.2,25.2,25.7,24.3,20.1,18.1,18.5,19.6,22.7,24.5,25.3,25.4,23.1
IDCJAC0002,066062,2003,27.2,27.1,25.2,22.7,20.6,19.6,17.8,19.1,22.6,21.6,22.7,26.0,22.7
IDCJAC0002,066062,2004,27.6,28.1,26.1,24.2,21.3,19.9,18.0,19.7,21.8,23.3,25.4,25.6,23.4
IDCJAC0002,066062,2005,26.6,27.4,24.3,25.1,21.2,19.2,19.0,20.0,21.0,24.3,23.9,28.6,23.4
IDCJAC0002,066062,2006,27.0,27.8,27.1,24.6,20.6,17.0,17.9,19.8,23.1,24.2,24.3,24.2,23.1
IDCJAC0002,066062,2007,26.4,26.0,26.3,23.0,22.4,16.8,17.1,19.9,20.9,25.0,23.5,24.7,22.7
IDCJAC0002,066062,2008,26.0,24.8,25.1,21.5,20.5,18.6,17.2,17.3,21.4,23.2,23.7,25.9,22.1
IDCJAC0002,066062,2009,27.6,25.7,25.4,22.8,20.7,17.9,18.3,20.9,23.1,21.4,26.1,25.4,22.9
IDCJAC0002,066062,2010,27.6,27.4,25.7,24.6,20.6,17.7,17.1,18.3,21.0,22.0,23.5,25.8,22.6
IDCJAC0002,066062,2011,27.4,28.4,26.0,22.7,19.5,18.0,17.4,19.8,21.7,22.2,25.2,23.1,22.6
IDCJAC0002,066062,2012,26.1,25.8,24.7,23.6,20.9,17.7,17.6,19.9,22.5,23.3,24.1,26.0,22.7
IDCJAC0002,066062,2013,27.6,26.2,26.4,24.0,21.3,18.1,19.5,21.1,24.4,25.7,24.0,26.4,23.7
IDCJAC0002,066062,2014,26.9,26.2,26.4,23.8,23.2,19.6,19.0,18.3,21.9,24.7,25.8,25.8,23.5
IDCJAC0002,066062,2015,27.5,27.0,26.8,22.7,20.7,18.6,17.4,19.4,20.7,24.9,26.2,26.1,23.2
IDCJAC0002,066062,2016,27.4,28.2,26.8,24.7,22.9,19.0,18.5,19.1,21.4,23.9,26.1,28.1,23.8
IDCJAC0002,066062,2017,29.6,28.5,25.6,23.8,21.2,18.2,19.1,19.5,23.3,24.0,23.8,27.8,23.7
IDCJAC0002,066062,2018,27.8,27.2,26.8,26.1,21.7,17.8,19.9,19.2,20.9,21.5,24.8,26.8,23.4
IDCJAC0002,066062,2019,29.6,27.5,26.8,24.8,22.6,18.5,19.7,19.5,21.7,24.4,26.6,26.8,24.0
